name,segment_id,dist_km,dist_away
Townhead Lane to Crummack Gravel,28975969,1317.800048828125,5.268471406579556
Stainforth - Halton Gill Total Climb Accurate,4955682,4892.2998046875,5.496218878486169
Old Rd full climb east to west,6474203,3152.10009765625,6.829068929241129
Henside Rd Climb,998225,1353.2900390625,7.10047880497251
Steep Section Langcliffe Scar,7818808,708.0999755859375,7.7641885256626315
Langcliffe Scar,6688008,2038.5,7.765743472625424
langcliffe church to henshaw rd.,8181855,4467.60009765625,7.784181540050102
Halton Gill Between Cattle Grids,7081580,2096.60009765625,8.290468596052804
Ooossshhh #270 Halton Gill,14906198,1670.300048828125,8.415243921437433
Craven Bank Ln Climb,984974,1191.3699951171875,8.613420289381583
OFFICIAL 100Climbs No143 Bowland Knotts,16336352,7442.2001953125,8.721206245909878
High Hill Lane OFFICIAL 100 Climbs X-List No63,29205109,4158.10009765625,9.211346489605564
Victoria St to Top of High Hill Lane,12499508,913,9.314384490162032
Brootes Ln Climb,714980,1050.8900146484375,9.60844763064203
Bowland Knotts proper,5613513,5835,10.021566356127883
Ingleton to Ribblehead,5513688,9275.2998046875,10.449718498426241
Dent Dale Head,14867453,918.70001220703125,12.065554664544349
Arncliffe proper,1546074,1952.5699462890625,12.32390694673433
Newby Head official climb,17652953,2205.699951171875,12.44072767648357
Gordale Ln Climb,816007,1684.1199951171875,13.691578769796509
Malham Cove,6688083,3314.10009765625,13.70717612798733
Steeeeep,15367928,1438.300048828125,14.146922597864165
Bentham bridge to Cross O'Greet,4651703,8545.099609375,14.247233234522426
Cross O' Greet from Aikengill Rd,8556711,5695.2998046875,14.875308579794448
